code	url	product_name	brands_tags	stores	owner	labels_tags	nutriscore_score	nutriscore_grade	quantity	fat_100g	saturated_fat_100g	sugars_100g	proteins_100g	carbohydrates_100g	energy_100g	salt_100g	sodium_100g	computed_energy_100g	organic	level_salt	level_saturated_fat	level_sugars	level_fat	vegan	vegetarian	palm_oil
5600961112429	http://world-en.openfoodfacts.org/product/5600961112429/100-chicken-breast-prozis	100% chicken breast	prozis	NA	NA	NA	1	b	2 x 80 g	3.5	0.5	0	26	0	569	1.3	0.52	571.5	NA	m	l	l	m			
5600961112436	http://world-en.openfoodfacts.org/product/5600961112436/100-chicken-breast-in-water-prozis	100% Chicken Breast in water	prozis	NA	NA	NA	1	b	NA	1	0.30000001192093	0	26	0	473	1.2000000476837	0.48000001907348	479	NA	m	l	l	l			
3276282071763	http://world-en.openfoodfacts.org/product/3276282071763/10-brochettes-de-dinde-poivron-vert-royal-bernard	10 Brochettes de Dinde Poivron vert	royal-bernard	NA	org-bernard-royal-dauphine	NA	-1	a	1200 g	6.3	2.1	0	16	0	506	0.29	0.116	505.1	NA	l	m	l	m	f	f	
3270160866137	http://world-en.openfoodfacts.org/product/3270160866137/10-brochettes-de-poulet-au-curry-avec-sauce-satay-picard	10 Brochettes de Poulet au Curry avec Sauce Satay	picard	Picard	NA	en:green-dot	-7	a	200 g	5.7	3.9	0.8	25	1.6	661	0.2	0.08	663.1	f	l	m	l	m	f	f	
3270160884506	http://world-en.openfoodfacts.org/product/3270160884506/10-brochettes-de-poulet-chich-taouk-picard	10 brochettes de poulet chich taouk	picard	NA	NA	en:nutriscore,en:nutriscore-grade-b	1	b	200g	4.2	1.1	0.8	24	3.1	602	0.92	0.368	616.1	f	m	l	l	m			
3222477062566	http://world-en.openfoodfacts.org/product/3222477062566/10-brochettes-de-poulet-yakitori-sauce-teriyaki-saveurs-d-ailleurs	10 Brochettes de poulet Yakitori sauce Teriyaki	saveurs-d-ailleurs,casino	Casino	org-casino	NA	1	b	250 g	0.9	0.3	7.5	21	8.9	550	1.2	0.48	541.6	NA	m	l	m	l	f	f	f
3280316022447	http://world-en.openfoodfacts.org/product/3280316022447/10-chicken-franks-doux	10 Chicken Franks	doux	NA	NA	en:halal,en:made-in-france	12	d	340 g	14.8	3.5	1.5	11	4	816	1.8	0.72	802.6	f	h	m	l	m	f	f	f
4018019400243	http://world-en.openfoodfacts.org/product/4018019400243/10-chicken-nuggets	10 chicken nuggets	NA	NA	NA	NA	4	c	NA	6.2	0.7	8.3	12.33	18.6	757	1.49	0.596	755.21	NA	m	l	m	m			
3263859580919	http://world-en.openfoodfacts.org/product/3263859580919/10-knacks-de-poulet-leader-price	10 Knacks de Poulet	leader-price	Franprix, Leader Price	NA	en:green-dot	16	d	350 g	19	6.5	0.3	12.4	1	958	2.01	0.804	930.8	f	h	h	l	m	f	f	t
3254565471233	http://world-en.openfoodfacts.org/product/3254565471233/10-nuggets-de-poulet-auchan	10 Nuggets de poulet	auchan	Simply Market, Auchan	org-auchan-apaw	en:no-flavour-enhancer,en:no-palm-oil	4	c	200 g	11	1.1	3.2	9.5	16	855	1.5	0.6	840.5	f	m	l	l	m	f	f	
